id,square,occurrence,data
1,29TPH2,post70_1,1
2,29TPH3,post70_1,1
3,29TPH4,post70_1,1
4,29TPJ4,post70_1,1
5,29TQH1,post70_1,1
6,30TTN3,post70_1,1
7,30TUN1,post70_1,1
8,30TUN3,post70_1,1
9,30TUP2,post70_1,1
10,30TUP4,post70_1,1
11,30TVM3,post70_1,1
12,30TVN1,post70_1,1
13,30TVN2,post70_1,1
14,30TVN3,post70_1,1
15,30TWM2,post70_1,1
16,30TWN1,post70_1,1
17,30TWN2,post70_1,1
18,30TWN3,post70_1,1
19,30TXM3,post70_1,1
20,30TXN1,post70_1,1
21,30TXN3,post70_1,1
22,30TYM1,post70_1,1
23,30TYN1,post70_1,1
24,30TYN2,post70_1,1
25,30TYT2,post70_1,1
26,30UUA1,post70_1,1
27,30UUA3,post70_1,1
28,30UVA3,pre70_1,2
29,30UVB2,post70_1,1
30,30UVC1,post70_1,1
31,30UVC2,post70_1,1
32,30UVC3,post70_1,1
33,30UVD1,pre70_1,2
34,30UVD2,pre70_1,2
35,30UVD3,pre70_1,2
36,30UVD4,post70_1,1
37,30UWB1,post70_1,1
38,30UWB2,pre70_1,2
39,30UWB3,pre70_1,2
40,30UWB4,post70_1,1
41,30UWC1,post70_1,1
42,30UWC2,post70_1,1
43,30UWC3,post70_1,1
44,30UWC4,post70_1,1
45,30UWD1,pre70_1,2
46,30UWD2,post70_1,1
47,30UWD4,pre70_1,2
48,30UWE2,post70_1,1
49,30UWE4,pre70_1,2
50,30UWF3,pre70_1,2
51,30UXB1,post70_1,1
52,30UXB2,post70_1,1
53,30UXB3,post70_1,1
54,30UXB4,post70_1,1
55,30UXC2,post70_1,1
56,30UXC3,post70_1,1
57,30UXC4,post70_1,1
58,30UXD1,pre70_1,2
59,30UXD2,post70_1,1
60,30UXD4,post70_1,1
61,30UXE4,pre70_1,2
62,31TCH1,post70_1,1
63,31TCH3,post70_1,1
64,31TCH4,post70_1,1
65,31TCK4,post70_1,1
66,31TCL3,post70_1,1
67,31TCL4,post70_1,1
68,31TCM1,post70_1,1
69,31TCM3,post70_1,1
70,31TDJ2,post70_1,1
71,31TDJ4,post70_1,1
72,31TDK4,post70_1,1
73,31TDL1,post70_1,1
74,31TDL2,post70_1,1
75,31TDL3,post70_1,1
76,31TDL4,post70_1,1
77,31TDM1,post70_1,1
78,31TDM2,post70_1,1
79,31TDM3,post70_1,1
80,31TDM4,post70_1,1
81,31TEK1,post70_1,1
82,31TEK2,post70_1,1
83,31TEK3,post70_1,1
84,31TEK4,post70_1,1
85,31TEL1,post70_1,1
86,31TEL2,post70_1,1
87,31TEL3,post70_1,1
88,31TEL4,post70_1,1
89,31TEM1,post70_1,1
90,31TEM2,post70_1,1
91,31TEM3,post70_1,1
92,31TEM4,post70_1,1
93,31TEN1,post70_1,1
94,31TEN2,post70_1,1
95,31TEN3,post70_1,1
96,31TEN4,post70_1,1
97,31TFJ3,post70_1,1
98,31TFK1,post70_1,1
99,31TFK2,post70_1,1
100,31TFK3,post70_1,1
101,31TFK4,post70_1,1
102,31TFL1,post70_1,1
103,31TFL2,post70_1,1
104,31TFL3,post70_1,1
105,31TFL4,post70_1,1
106,31TFM1,post70_1,1
107,31TFM2,post70_1,1
108,31TFM3,post70_1,1
109,31TFM4,post70_1,1
110,31TFN1,post70_1,1
111,31TFN2,post70_1,1
112,31TFN3,post70_1,1
113,31TFN4,post70_1,1
114,31TGK1,post70_1,1
115,31TGL1,post70_1,1
116,31TGL2,post70_1,1
117,31TGM1,post70_1,1
118,31TGM2,post70_1,1
119,31TGN1,post70_1,1
120,31TGN2,post70_1,1
121,31UCQ2,post70_1,1
122,31UCS1,post70_1,1
123,31UCS2,post70_1,1
124,31UCS3,post70_1,1
125,31UCT1,post70_1,1
126,31UCT2,post70_1,1
127,31UCT3,post70_1,1
128,31UCT4,post70_1,1
129,31UCU1,pre70_1,2
130,31UCU2,post70_1,1
131,31UCU4,post70_1,1
132,31UDQ1,post70_1,1
133,31UDQ3,post70_1,1
134,31UDQ4,post70_1,1
135,31UDT1,post70_1,1
136,31UDU2,pre70_1,2
137,31UEP1,post70_1,1
138,31UEP3,post70_1,1
139,31UEP4,post70_1,1
140,31UEQ1,post70_1,1
141,31UEQ3,post70_1,1
142,31UEQ4,post70_1,1
143,31UER2,post70_1,1
144,31UER4,post70_1,1
145,31UFP1,post70_1,1
146,31UFP2,post70_1,1
147,31UFP3,post70_1,1
148,31UFP4,post70_1,1
149,31UFQ1,post70_1,1
150,31UFQ2,post70_1,1
151,31UFQ3,post70_1,1
152,31UFQ4,post70_1,1
153,31UFR1,post70_1,1
154,31UFR2,post70_1,1
155,31UFR3,post70_1,1
156,31UFR4,post70_1,1
157,31UFS4,post70_1,1
158,31UGP1,post70_1,1
159,31UGP2,post70_1,1
160,31UGQ1,post70_1,1
161,32TKP3,post70_1,1
162,32TKQ3,post70_1,1
163,32TKR3,post70_1,1
164,32TKR4,post70_1,1
165,32TLP1,post70_1,1
166,32TLP3,post70_1,1
167,32TLQ1,post70_1,1
168,32TLQ2,post70_1,1
169,32TLR1,post70_1,1
170,32TLR2,post70_1,1
171,32TLR3,post70_1,1
172,32TLR4,post70_1,1
173,32TLS1,post70_1,1
174,32TLS2,post70_1,1
175,32TLS3,post70_1,1
176,32TLS4,post70_1,1
177,32TLT1,post70_1,1
178,32TLT2,post70_1,1
179,32TLT3,post70_1,1
180,32TLT4,post70_1,1
181,32TMR1,pre70_1,2
182,32TMR3,post70_1,1
183,32TMS1,post70_1,1
184,32TMS2,post70_1,1
185,32TMS3,post70_1,1
186,32TMS4,post70_1,1
187,32TMT1,post70_1,1
188,32TMT2,post70_1,1
189,32TMT3,post70_1,1
190,32TMT4,post70_1,1
191,32TNP3,post70_1,1
192,32TNQ1,post70_1,1
193,32TNQ2,post70_1,1
194,32TNQ3,post70_1,1
195,32TNQ4,post70_1,1
196,32TNR1,post70_1,1
197,32TNR2,post70_1,1
198,32TNR3,post70_1,1
199,32TNR4,post70_1,1
200,32TNS1,post70_1,1
201,32TNS2,post70_1,1
202,32TNS3,post70_1,1
203,32TNS4,post70_1,1
204,32TNT1,post70_1,1
205,32TNT2,post70_1,1
206,32TNT3,post70_1,1
207,32TNT4,post70_1,1
208,32TPM3,post70_1,1
209,32TPN1,post70_1,1
210,32TPN2,post70_1,1
211,32TPN3,post70_1,1
212,32TPN4,post70_1,1
213,32TPP1,post70_1,1
214,32TPP3,post70_1,1
215,32TPP4,post70_1,1
216,32TPQ2,post70_1,1
217,32TPQ4,post70_1,1
218,32TPR1,post70_1,1
219,32TPR2,post70_1,1
220,32TPR3,post70_1,1
221,32TPR4,post70_1,1
222,32TPS1,post70_1,1
223,32TPS2,post70_1,1
224,32TPS4,post70_1,1
225,32TPT2,post70_1,1
226,32TPT4,post70_1,1
227,32TQM1,post70_1,1
228,32TQN1,post70_1,1
229,32TQN2,post70_1,1
230,32TQP1,post70_1,1
231,32TQP2,post70_1,1
232,32TQQ2,post70_1,1
233,32TQR1,post70_1,1
234,32TQR2,post70_1,1
235,32TQS1,post70_1,1
236,32TQS2,post70_1,1
237,32TQT1,post70_1,1
238,32TQT2,post70_1,1
239,32ULA1,post70_1,1
240,32ULA2,post70_1,1
241,32ULA3,post70_1,1
242,32ULA4,post70_1,1
243,32ULB1,post70_1,1
244,32ULB2,post70_1,1
245,32ULB3,post70_1,1
246,32ULB4,post70_1,1
247,32ULC3,post70_1,1
248,32ULC4,post70_1,1
249,32ULU1,post70_1,1
250,32ULU2,post70_1,1
251,32ULU3,post70_1,1
252,32ULU4,post70_1,1
253,32ULV1,post70_1,1
254,32ULV2,post70_1,1
255,32ULV3,post70_1,1
256,32ULV4,post70_1,1
257,32UMA1,post70_1,1
258,32UMA2,post70_1,1
259,32UMA3,post70_1,1
260,32UMA4,post70_1,1
261,32UMB1,post70_1,1
262,32UMB2,post70_1,1
263,32UMB3,post70_1,1
264,32UMB4,post70_1,1
265,32UMC1,post70_1,1
266,32UMC2,post70_1,1
267,32UMC3,post70_1,1
268,32UMC4,post70_1,1
269,32UMD3,post70_1,1
270,32UMD4,post70_1,1
271,32UME3,post70_1,1
272,32UME4,post70_1,1
273,32UMF3,post70_1,1
274,32UMG3,post70_1,1
275,32UMG4,post70_1,1
276,32UMU1,post70_1,1
277,32UMU2,post70_1,1
278,32UMU3,post70_1,1
279,32UMU4,post70_1,1
280,32UMV1,post70_1,1
281,32UMV2,post70_1,1
282,32UMV3,post70_1,1
283,32UMV4,post70_1,1
284,32UNA1,post70_1,1
285,32UNA2,post70_1,1
286,32UNA3,post70_1,1
287,32UNA4,post70_1,1
288,32UNB1,pre70_1,2
289,32UNB3,post70_1,1
290,32UNB4,post70_1,1
291,32UNC1,post70_1,1
292,32UNC2,post70_1,1
293,32UNC3,post70_1,1
294,32UNC4,post70_1,1
295,32UND2,post70_1,1
296,32UND3,post70_1,1
297,32UND4,post70_1,1
298,32UNE1,post70_1,1
299,32UNE2,post70_1,1
300,32UNE3,post70_1,1
301,32UNE4,post70_1,1
302,32UNF1,post70_1,1
303,32UNF2,post70_1,1
304,32UNF3,post70_1,1
