EASTING,NORTHING,GZD,100kmSQ_ID,MGRS
200000,4300000,30S,TJ,30STJ
300000,4300000,30S,UJ,30SUJ
400000,4300000,30S,VJ,30SVJ
500000,4300000,30S,WJ,30SWJ
600000,4300000,30S,XJ,30SXJ
700000,4300000,30S,YJ,30SYJ
200000,4200000,30S,TH,30STH
300000,4200000,30S,UH,30SUH
400000,4200000,30S,VH,30SVH
500000,4200000,30S,WH,30SWH
600000,4200000,30S,XH,30SXH
700000,4200000,30S,YH,30SYH
200000,4100000,30S,TG,30STG
300000,4100000,30S,UG,30SUG
400000,4100000,30S,VG,30SVG
500000,4100000,30S,WG,30SWG
600000,4100000,30S,XG,30SXG
700000,4100000,30S,YG,30SYG
200000,4000000,30S,TF,30STF
300000,4000000,30S,UF,30SUF
400000,4000000,30S,VF,30SVF
500000,4000000,30S,WF,30SWF
600000,4000000,30S,XF,30SXF
700000,4000000,30S,YF,30SYF
200000,3900000,30S,TE,30STE
300000,3900000,30S,UE,30SUE
400000,3900000,30S,VE,30SVE
500000,3900000,30S,WE,30SWE
600000,3900000,30S,XE,30SXE
700000,3900000,30S,YE,30SYE
200000,3800000,30S,TD,30STD
300000,3800000,30S,UD,30SUD
400000,3800000,30S,VD,30SVD
500000,3800000,30S,WD,30SWD
600000,3800000,30S,XD,30SXD
700000,3800000,30S,YD,30SYD
200000,3700000,30S,TC,30STC
300000,3700000,30S,UC,30SUC
400000,3700000,30S,VC,30SVC
500000,3700000,30S,WC,30SWC
600000,3700000,30S,XC,30SXC
700000,3700000,30S,YC,30SYC
200000,3600000,30S,TB,30STB
300000,3600000,30S,UB,30SUB
400000,3600000,30S,VB,30SVB
500000,3600000,30S,WB,30SWB
600000,3600000,30S,XB,30SXB
700000,3600000,30S,YB,30SYB
200000,3500000,30S,TA,30STA
300000,3500000,30S,UA,30SUA
400000,3500000,30S,VA,30SVA
500000,3500000,30S,WA,30SWA
600000,3500000,30S,XA,30SXA
700000,3500000,30S,YA,30SYA
200000,5200000,30T,TT,30TTT
300000,5200000,30T,UT,30TUT
400000,5200000,30T,VT,30TVT
500000,5200000,30T,WT,30TWT
600000,5200000,30T,XT,30TXT
700000,5200000,30T,YT,30TYT
200000,5100000,30T,TS,30TTS
300000,5100000,30T,US,30TUS
400000,5100000,30T,VS,30TVS
500000,5100000,30T,WS,30TWS
600000,5100000,30T,XS,30TXS
700000,5100000,30T,YS,30TYS
200000,5000000,30T,TR,30TTR
300000,5000000,30T,UR,30TUR
400000,5000000,30T,VR,30TVR
500000,5000000,30T,WR,30TWR
600000,5000000,30T,XR,30TXR
700000,5000000,30T,YR,30TYR
200000,4900000,30T,TQ,30TTQ
300000,4900000,30T,UQ,30TUQ
400000,4900000,30T,VQ,30TVQ
500000,4900000,30T,WQ,30TWQ
600000,4900000,30T,XQ,30TXQ
700000,4900000,30T,YQ,30TYQ
200000,4800000,30T,TP,30TTP
300000,4800000,30T,UP,30TUP
400000,4800000,30T,VP,30TVP
500000,4800000,30T,WP,30TWP
600000,4800000,30T,XP,30TXP
700000,4800000,30T,YP,30TYP
200000,4700000,30T,TN,30TTN
300000,4700000,30T,UN,30TUN
400000,4700000,30T,VN,30TVN
500000,4700000,30T,WN,30TWN
600000,4700000,30T,XN,30TXN
700000,4700000,30T,YN,30TYN
200000,4600000,30T,TM,30TTM
300000,4600000,30T,UM,30TUM
400000,4600000,30T,VM,30TVM
500000,4600000,30T,WM,30TWM
600000,4600000,30T,XM,30TXM
700000,4600000,30T,YM,30TYM
200000,4500000,30T,TL,30TTL
300000,4500000,30T,UL,30TUL
400000,4500000,30T,VL,30TVL
500000,4500000,30T,WL,30TWL
600000,4500000,30T,XL,30TXL
700000,4500000,30T,YL,30TYL
300000,6100000,30U,UG,30UUG
400000,6100000,30U,VG,30UVG
500000,6100000,30U,WG,30UWG
600000,6100000,30U,XG,30UXG
300000,6000000,30U,UF,30UUF
400000,6000000,30U,VF,30UVF
500000,6000000,30U,WF,30UWF
600000,6000000,30U,XF,30UXF
200000,5900000,30U,TE,30UTE
300000,5900000,30U,UE,30UUE
400000,5900000,30U,VE,30UVE
500000,5900000,30U,WE,30UWE
600000,5900000,30U,XE,30UXE
700000,5900000,30U,YE,30UYE
200000,5800000,30U,TD,30UTD
300000,5800000,30U,UD,30UUD
400000,5800000,30U,VD,30UVD
500000,5800000,30U,WD,30UWD
600000,5800000,30U,XD,30UXD
700000,5800000,30U,YD,30UYD
200000,5700000,30U,TC,30UTC
300000,5700000,30U,UC,30UUC
400000,5700000,30U,VC,30UVC
500000,5700000,30U,WC,30UWC
600000,5700000,30U,XC,30UXC
700000,5700000,30U,YC,30UYC
200000,5600000,30U,TB,30UTB
300000,5600000,30U,UB,30UUB
400000,5600000,30U,VB,30UVB
500000,5600000,30U,WB,30UWB
600000,5600000,30U,XB,30UXB
700000,5600000,30U,YB,30UYB
200000,5500000,30U,TA,30UTA
300000,5500000,30U,UA,30UUA
400000,5500000,30U,VA,30UVA
500000,5500000,30U,WA,30UWA
600000,5500000,30U,XA,30UXA
700000,5500000,30U,YA,30UYA
200000,5400000,30U,TV,30UTV
300000,5400000,30U,UV,30UUV
400000,5400000,30U,VV,30UVV
500000,5400000,30U,WV,30UWV
600000,5400000,30U,XV,30UXV
700000,5400000,30U,YV,30UYV
300000,7100000,30V,US,30VUS
600000,7100000,30V,XS,30VXS
300000,7000000,30V,UR,30VUR
400000,7000000,30V,VR,30VVR
500000,7000000,30V,WR,30VWR
600000,7000000,30V,XR,30VXR
300000,6900000,30V,UQ,30VUQ
400000,6900000,30V,VQ,30VVQ
500000,6900000,30V,WQ,30VWQ
600000,6900000,30V,XQ,30VXQ
300000,6800000,30V,UP,30VUP
400000,6800000,30V,VP,30VVP
500000,6800000,30V,WP,30VWP
600000,6800000,30V,XP,30VXP
300000,6700000,30V,UN,30VUN
400000,6700000,30V,VN,30VVN
500000,6700000,30V,WN,30VWN
600000,6700000,30V,XN,30VXN
300000,6600000,30V,UM,30VUM
400000,6600000,30V,VM,30VVM
500000,6600000,30V,WM,30VWM
600000,6600000,30V,XM,30VXM
300000,6500000,30V,UL,30VUL
400000,6500000,30V,VL,30VVL
500000,6500000,30V,WL,30VWL
600000,6500000,30V,XL,30VXL
300000,6400000,30V,UK,30VUK
400000,6400000,30V,VK,30VVK
500000,6400000,30V,WK,30VWK
600000,6400000,30V,XK,30VXK
300000,6300000,30V,UJ,30VUJ
400000,6300000,30V,VJ,30VVJ
500000,6300000,30V,WJ,30VWJ
600000,6300000,30V,XJ,30VXJ
700000,4400000,30T,YK,30TYK
600000,4400000,30S,XK,30SXK
500000,4400000,30S,WK,30SWK
400000,4400000,30S,VK,30SVK
300000,4400000,30S,UK,30SUK
200000,4400000,30S,TK,30STK
700000,5300000,30U,YU,30UYU
600000,5300000,30U,XU,30UXU
500000,5300000,30U,WU,30UWU
400000,5300000,30U,VU,30UVU
300000,5300000,30T,UU,30TUU
200000,5300000,30T,TU,30TTU
600000,6200000,30U,XH,30UXH
500000,6200000,30U,WH,30UWH
400000,6200000,30U,VH,30UVH
300000,6200000,30U,UH,30UUH
