EASTING,NORTHING,100kmSQ_ID,GZD,MGRS
200000,4300000,BD,31S,31SBD
300000,4300000,CD,31S,31SCD
400000,4300000,DD,31S,31SDD
500000,4300000,ED,31S,31SED
600000,4300000,FD,31S,31SFD
700000,4300000,GD,31S,31SGD
200000,4200000,BC,31S,31SBC
300000,4200000,CC,31S,31SCC
400000,4200000,DC,31S,31SDC
500000,4200000,EC,31S,31SEC
600000,4200000,FC,31S,31SFC
700000,4200000,GC,31S,31SGC
200000,4100000,BB,31S,31SBB
300000,4100000,CB,31S,31SCB
400000,4100000,DB,31S,31SDB
500000,4100000,EB,31S,31SEB
600000,4100000,FB,31S,31SFB
700000,4100000,GB,31S,31SGB
200000,4000000,BA,31S,31SBA
300000,4000000,CA,31S,31SCA
400000,4000000,DA,31S,31SDA
500000,4000000,EA,31S,31SEA
600000,4000000,FA,31S,31SFA
700000,4000000,GA,31S,31SGA
200000,3900000,BV,31S,31SBV
300000,3900000,CV,31S,31SCV
400000,3900000,DV,31S,31SDV
500000,3900000,EV,31S,31SEV
600000,3900000,FV,31S,31SFV
700000,3900000,GV,31S,31SGV
200000,3800000,BU,31S,31SBU
300000,3800000,CU,31S,31SCU
400000,3800000,DU,31S,31SDU
500000,3800000,EU,31S,31SEU
600000,3800000,FU,31S,31SFU
700000,3800000,GU,31S,31SGU
200000,3700000,BT,31S,31SBT
300000,3700000,CT,31S,31SCT
400000,3700000,DT,31S,31SDT
500000,3700000,ET,31S,31SET
600000,3700000,FT,31S,31SFT
700000,3700000,GT,31S,31SGT
200000,3600000,BS,31S,31SBS
300000,3600000,CS,31S,31SCS
400000,3600000,DS,31S,31SDS
500000,3600000,ES,31S,31SES
600000,3600000,FS,31S,31SFS
700000,3600000,GS,31S,31SGS
200000,3500000,BR,31S,31SBR
300000,3500000,CR,31S,31SCR
400000,3500000,DR,31S,31SDR
500000,3500000,ER,31S,31SER
600000,3500000,FR,31S,31SFR
700000,3500000,GR,31S,31SGR
200000,5200000,BN,31T,31TBN
300000,5200000,CN,31T,31TCN
400000,5200000,DN,31T,31TDN
500000,5200000,EN,31T,31TEN
600000,5200000,FN,31T,31TFN
700000,5200000,GN,31T,31TGN
200000,5100000,BM,31T,31TBM
300000,5100000,CM,31T,31TCM
400000,5100000,DM,31T,31TDM
500000,5100000,EM,31T,31TEM
600000,5100000,FM,31T,31TFM
700000,5100000,GM,31T,31TGM
200000,5000000,BL,31T,31TBL
300000,5000000,CL,31T,31TCL
400000,5000000,DL,31T,31TDL
500000,5000000,EL,31T,31TEL
600000,5000000,FL,31T,31TFL
700000,5000000,GL,31T,31TGL
200000,4900000,BK,31T,31TBK
300000,4900000,CK,31T,31TCK
