GZD,100kmSQ_ID,MGRS,EASTING,NORTHING
35S,KD,35SKD,200000,4300000
35S,LD,35SLD,300000,4300000
35S,MD,35SMD,400000,4300000
35S,ND,35SND,500000,4300000
35S,PD,35SPD,600000,4300000
35S,QD,35SQD,700000,4300000
35S,KC,35SKC,200000,4200000
35S,LC,35SLC,300000,4200000
35S,MC,35SMC,400000,4200000
35S,NC,35SNC,500000,4200000
35S,PC,35SPC,600000,4200000
35S,QC,35SQC,700000,4200000
35S,KB,35SKB,200000,4100000
35S,LB,35SLB,300000,4100000
35S,MB,35SMB,400000,4100000
35S,NB,35SNB,500000,4100000
35S,PB,35SPB,600000,4100000
35S,QB,35SQB,700000,4100000
35S,KA,35SKA,200000,4000000
35S,LA,35SLA,300000,4000000
35S,MA,35SMA,400000,4000000
35S,NA,35SNA,500000,4000000
35S,PA,35SPA,600000,4000000
35S,QA,35SQA,700000,4000000
35S,KV,35SKV,200000,3900000
35S,LV,35SLV,300000,3900000
35S,MV,35SMV,400000,3900000
35S,NV,35SNV,500000,3900000
35S,PV,35SPV,600000,3900000
35S,QV,35SQV,700000,3900000
35S,KU,35SKU,200000,3800000
35S,LU,35SLU,300000,3800000
35S,MU,35SMU,400000,3800000
35S,NU,35SNU,500000,3800000
35S,PU,35SPU,600000,3800000
35S,QU,35SQU,700000,3800000
35S,KT,35SKT,200000,3700000
35S,LT,35SLT,300000,3700000
35S,MT,35SMT,400000,3700000
35S,NT,35SNT,500000,3700000
35S,PT,35SPT,600000,3700000
35S,QT,35SQT,700000,3700000
35S,KS,35SKS,200000,3600000
35S,LS,35SLS,300000,3600000
35S,MS,35SMS,400000,3600000
35S,NS,35SNS,500000,3600000
35S,PS,35SPS,600000,3600000
35S,QS,35SQS,700000,3600000
35S,KR,35SKR,200000,3500000
35S,LR,35SLR,300000,3500000
35S,MR,35SMR,400000,3500000
35S,NR,35SNR,500000,3500000
35S,PR,35SPR,600000,3500000
35S,QR,35SQR,700000,3500000
35T,KN,35TKN,200000,5200000
35T,LN,35TLN,300000,5200000
35T,MN,35TMN,400000,5200000
35T,NN,35TNN,500000,5200000
35T,PN,35TPN,600000,5200000
35T,QN,35TQN,700000,5200000
35T,KM,35TKM,200000,5100000
35T,LM,35TLM,300000,5100000
35T,MM,35TMM,400000,5100000
35T,NM,35TNM,500000,5100000
35T,PM,35TPM,600000,5100000
35T,QM,35TQM,700000,5100000
35T,KL,35TKL,200000,5000000
35T,LL,35TLL,300000,5000000
35T,ML,35TML,400000,5000000
35T,NL,35TNL,500000,5000000
35T,PL,35TPL,600000,5000000
35T,QL,35TQL,700000,5000000
35T,KK,35TKK,200000,4900000
35T,LK,35TLK,300000,4900000
35T,MK,35TMK,400000,4900000
35T,NK,35TNK,500000,4900000
35T,PK,35TPK,600000,4900000
35T,QK,35TQK,700000,4900000
35T,KJ,35TKJ,200000,4800000
35T,LJ,35TLJ,300000,4800000
35T,MJ,35TMJ,400000,4800000
35T,NJ,35TNJ,500000,4800000
35T,PJ,35TPJ,600000,4800000
35T,QJ,35TQJ,700000,4800000
35T,KH,35TKH,200000,4700000
35T,LH,35TLH,300000,4700000
35T,MH,35TMH,400000,4700000
35T,NH,35TNH,500000,4700000
35T,PH,35TPH,600000,4700000
35T,QH,35TQH,700000,4700000
35T,KG,35TKG,200000,4600000
35T,LG,35TLG,300000,4600000
35T,MG,35TMG,400000,4600000
35T,NG,35TNG,500000,4600000
35T,PG,35TPG,600000,4600000
35T,QG,35TQG,700000,4600000
35T,KF,35TKF,200000,4500000
35T,LF,35TLF,300000,4500000
35T,MF,35TMF,400000,4500000
35T,NF,35TNF,500000,4500000
35T,PF,35TPF,600000,4500000
35T,QF,35TQF,700000,4500000
35U,LB,35ULB,300000,6100000
35U,MB,35UMB,400000,6100000
35U,NB,35UNB,500000,6100000
35U,PB,35UPB,600000,6100000
35U,LA,35ULA,300000,6000000
35U,MA,35UMA,400000,6000000
35U,NA,35UNA,500000,6000000
35U,PA,35UPA,600000,6000000
35U,KV,35UKV,200000,5900000
35U,LV,35ULV,300000,5900000
35U,MV,35UMV,400000,5900000
35U,NV,35UNV,500000,5900000
35U,PV,35UPV,600000,5900000
35U,QV,35UQV,700000,5900000
35U,KU,35UKU,200000,5800000
35U,LU,35ULU,300000,5800000
35U,MU,35UMU,400000,5800000
35U,NU,35UNU,500000,5800000
35U,PU,35UPU,600000,5800000
35U,QU,35UQU,700000,5800000
35U,KT,35UKT,200000,5700000
35U,LT,35ULT,300000,5700000
35U,MT,35UMT,400000,5700000
35U,NT,35UNT,500000,5700000
35U,PT,35UPT,600000,5700000
35U,QT,35UQT,700000,5700000
35U,KS,35UKS,200000,5600000
35U,LS,35ULS,300000,5600000
35U,MS,35UMS,400000,5600000
35U,NS,35UNS,500000,5600000
35U,PS,35UPS,600000,5600000
35U,QS,35UQS,700000,5600000
35U,KR,35UKR,200000,5500000
35U,LR,35ULR,300000,5500000
35U,MR,35UMR,400000,5500000
35U,NR,35UNR,500000,5500000
35U,PR,35UPR,600000,5500000
35U,QR,35UQR,700000,5500000
35U,KQ,35UKQ,200000,5400000
35U,LQ,35ULQ,300000,5400000
35U,MQ,35UMQ,400000,5400000
35U,NQ,35UNQ,500000,5400000
35U,PQ,35UPQ,600000,5400000
35U,QQ,35UQQ,700000,5400000
35V,LK,35VLK,300000,6900000
35V,MK,35VMK,400000,6900000
35V,NK,35VNK,500000,6900000
35V,PK,35VPK,600000,6900000
35V,LJ,35VLJ,300000,6800000
35V,MJ,35VMJ,400000,6800000
35V,NJ,35VNJ,500000,6800000
35V,PJ,35VPJ,600000,6800000
35V,LH,35VLH,300000,6700000
35V,MH,35VMH,400000,6700000
35V,NH,35VNH,500000,6700000
35V,PH,35VPH,600000,6700000
35V,LG,35VLG,300000,6600000
35V,MG,35VMG,400000,6600000
35V,NG,35VNG,500000,6600000
35V,PG,35VPG,600000,6600000
35V,LF,35VLF,300000,6500000
35V,MF,35VMF,400000,6500000
35V,NF,35VNF,500000,6500000
35V,PF,35VPF,600000,6500000
35V,LE,35VLE,300000,6400000
35V,ME,35VME,400000,6400000
35V,NE,35VNE,500000,6400000
35V,PE,35VPE,600000,6400000
35V,LD,35VLD,300000,6300000
