100kmSQ_ID,GZD,MGRS,EASTING,NORTHING
TT,36T,36TTT,200000,5200000
UT,36T,36TUT,300000,5200000
VT,36T,36TVT,400000,5200000
WT,36T,36TWT,500000,5200000
XT,36T,36TXT,600000,5200000
YT,36T,36TYT,700000,5200000
TS,36T,36TTS,200000,5100000
US,36T,36TUS,300000,5100000
VS,36T,36TVS,400000,5100000
WS,36T,36TWS,500000,5100000
XS,36T,36TXS,600000,5100000
YS,36T,36TYS,700000,5100000
TR,36T,36TTR,200000,5000000
UR,36T,36TUR,300000,5000000
VR,36T,36TVR,400000,5000000
WR,36T,36TWR,500000,5000000
XR,36T,36TXR,600000,5000000
YR,36T,36TYR,700000,5000000
TQ,36T,36TTQ,200000,4900000
UQ,36T,36TUQ,300000,4900000
VQ,36T,36TVQ,400000,4900000
WQ,36T,36TWQ,500000,4900000
XQ,36T,36TXQ,600000,4900000
YQ,36T,36TYQ,700000,4900000
TP,36T,36TTP,200000,4800000
UP,36T,36TUP,300000,4800000
VP,36T,36TVP,400000,4800000
WP,36T,36TWP,500000,4800000
XP,36T,36TXP,600000,4800000
YP,36T,36TYP,700000,4800000
TN,36T,36TTN,200000,4700000
UN,36T,36TUN,300000,4700000
VN,36T,36TVN,400000,4700000
WN,36T,36TWN,500000,4700000
XN,36T,36TXN,600000,4700000
YN,36T,36TYN,700000,4700000
TM,36T,36TTM,200000,4600000
UM,36T,36TUM,300000,4600000
VM,36T,36TVM,400000,4600000
WM,36T,36TWM,500000,4600000
XM,36T,36TXM,600000,4600000
YM,36T,36TYM,700000,4600000
TL,36T,36TTL,200000,4500000
UL,36T,36TUL,300000,4500000
VL,36T,36TVL,400000,4500000
WL,36T,36TWL,500000,4500000
XL,36T,36TXL,600000,4500000
YL,36T,36TYL,700000,4500000
TK,36T,36TTK,200000,4400000
UK,36T,36TUK,300000,4400000
VK,36T,36TVK,400000,4400000
WK,36T,36TWK,500000,4400000
XK,36T,36TXK,600000,4400000
YK,36T,36TYK,700000,4400000
TU,36T,36TTU,200000,5300000
UU,36T,36TUU,300000,5300000
VU,36T,36TVU,400000,5300000
WU,36T,36TWU,500000,5300000
XU,36T,36TXU,600000,5300000
YU,36T,36TYU,700000,5300000
UG,36U,36UUG,300000,6100000
VG,36U,36UVG,400000,6100000
WG,36U,36UWG,500000,6100000
XG,36U,36UXG,600000,6100000
UF,36U,36UUF,300000,6000000
VF,36U,36UVF,400000,6000000
WF,36U,36UWF,500000,6000000
XF,36U,36UXF,600000,6000000
TE,36U,36UTE,200000,5900000
UE,36U,36UUE,300000,5900000
VE,36U,36UVE,400000,5900000
WE,36U,36UWE,500000,5900000
XE,36U,36UXE,600000,5900000
YE,36U,36UYE,700000,5900000
TD,36U,36UTD,200000,5800000
UD,36U,36UUD,300000,5800000
VD,36U,36UVD,400000,5800000
WD,36U,36UWD,500000,5800000
XD,36U,36UXD,600000,5800000
YD,36U,36UYD,700000,5800000
TC,36U,36UTC,200000,5700000
UC,36U,36UUC,300000,5700000
VC,36U,36UVC,400000,5700000
WC,36U,36UWC,500000,5700000
XC,36U,36UXC,600000,5700000
YC,36U,36UYC,700000,5700000
TB,36U,36UTB,200000,5600000
UB,36U,36UUB,300000,5600000
VB,36U,36UVB,400000,5600000
WB,36U,36UWB,500000,5600000
XB,36U,36UXB,600000,5600000
YB,36U,36UYB,700000,5600000
TA,36U,36UTA,200000,5500000
UA,36U,36UUA,300000,5500000
VA,36U,36UVA,400000,5500000
WA,36U,36UWA,500000,5500000
XA,36U,36UXA,600000,5500000
YA,36U,36UYA,700000,5500000
TV,36U,36UTV,200000,5400000
UV,36U,36UUV,300000,5400000
VV,36U,36UVV,400000,5400000
WV,36U,36UWV,500000,5400000
XV,36U,36UXV,600000,5400000
YV,36U,36UYV,700000,5400000
UH,36U,36UUH,300000,6200000
VH,36U,36UVH,400000,6200000
WH,36U,36UWH,500000,6200000
XH,36U,36UXH,600000,6200000
UQ,36V,36VUQ,300000,6900000
VQ,36V,36VVQ,400000,6900000
WQ,36V,36VWQ,500000,6900000
XQ,36V,36VXQ,600000,6900000
UP,36V,36VUP,300000,6800000
VP,36V,36VVP,400000,6800000
WP,36V,36VWP,500000,6800000
XP,36V,36VXP,600000,6800000
UN,36V,36VUN,300000,6700000
VN,36V,36VVN,400000,6700000
WN,36V,36VWN,500000,6700000
XN,36V,36VXN,600000,6700000
UM,36V,36VUM,300000,6600000
VM,36V,36VVM,400000,6600000
WM,36V,36VWM,500000,6600000
XM,36V,36VXM,600000,6600000
UL,36V,36VUL,300000,6500000
VL,36V,36VVL,400000,6500000
WL,36V,36VWL,500000,6500000
XL,36V,36VXL,600000,6500000
UK,36V,36VUK,300000,6400000
VK,36V,36VVK,400000,6400000
WK,36V,36VWK,500000,6400000
XK,36V,36VXK,600000,6400000
UJ,36V,36VUJ,300000,6300000
VJ,36V,36VVJ,400000,6300000
WJ,36V,36VWJ,500000,6300000
XJ,36V,36VXJ,600000,6300000
XR,36V,36VXR,600000,7000000
UE,36W,36WUE,300000,7900000
VE,36W,36WVE,400000,7900000
WE,36W,36WWE,500000,7900000
XE,36W,36WXE,600000,7900000
